data,timestamp_captura,modo,id_veiculo,ano_fabricacao,carroceria,data_ultima_vistoria,id_carroceria,id_chassi,id_fabricante_chassi,id_interno_carroceria,id_planta,indicador_ar_condicionado,indicador_elevador,indicador_usb,indicador_wifi,nome_chassi,permissao,placa,quantidade_lotacao_pe,quantidade_lotacao_sentado,tipo_combustivel,tipo_veiculo,status,solicitacao
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47920,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,KPA3209,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47935,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LSF2424,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47919,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LRZ2425,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47948,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LKN7145,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47950,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LQR2046,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47958,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LQB2166,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47921,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LRT2179,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47931,2008,M. BENZ OF-1722 R,,,,,,,true,,,,,,LSH2528,,,,5 ONIBUS ROD. C/ AR,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47453,2008,OF-1418,,,,,,,false,,,,,,KVL2746,,,,28 MIDIONBUS URBAN S/AR C/ELEV,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47452,2008,OF-1418,,,,,,,false,,,,,,KXN1614,,,,28 MIDIONBUS URBAN S/AR C/ELEV,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47616,2008,M. BENZ OF-1418 AR,,,,,,,true,,,,,,KXZ2794,,,,29 MIDIONBUS URBAN C/AR C/ELEV,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,C47777,2008,M. BENZ OF-1418 AR,,,,,,,true,,,,,,KXY2795,,,,29 MIDIONBUS URBAN C/AR C/ELEV,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31139,2008,NEOBUS,,,,,,,false,,,,,,KOO2875,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31030,2008,NEOBUS,,,,,,,false,,,,,,KNT4184,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31116,2008,NEOBUS,,,,,,,false,,,,,,KPN4422,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31114,2008,NEOBUS,,,,,,,false,,,,,,LPG7795,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31113,2008,NEOBUS,,,,,,,false,,,,,,LKT2244,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31066,2008,NEOBUS,,,,,,,false,,,,,,LKT2247,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31133,2008,NEOBUS,,,,,,,false,,,,,,LUT2303,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31137,2008,NEOBUS,,,,,,,false,,,,,,LUT2302,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31152,2008,NEOBUS,,,,,,,false,,,,,,LQF2568,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31134,2008,NEOBUS,,,,,,,false,,,,,,KWS2280,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31153,2008,NEOBUS,,,,,,,false,,,,,,KUZ7758,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31110,2008,NEOBUS,,,,,,,false,,,,,,LST2679,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,B31132,2008,NEOBUS,,,,,,,false,,,,,,LQL2551,,,,50 ONIBUS BS URB S/AR C/E 2CAT,Inválido,Inclusão
2023-02-06,2023-02-05 21:00:00,ONIBUS,D87787,2009,NEOBUS - SAN MARINO,,,,,,,true,,,,,,KVC8356,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53917,2009,MASCARELLO,,,,,,,true,,,,,,KWP3552,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53919,2009,MASCARELLO,,,,,,,true,,,,,,LRX3121,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53910,2009,MASCARELLO,,,,,,,true,,,,,,LRF2668,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53914,2009,MASCARELLO,,,,,,,true,,,,,,KOP1883,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53905,2009,MASCARELLO,,,,,,,true,,,,,,LKX3745,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53903,2009,MASCARELLO,,,,,,,true,,,,,,KVL3610,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53901,2009,MASCARELLO,,,,,,,true,,,,,,KVN4028,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53906,2009,MASCARELLO,,,,,,,true,,,,,,LKY4381,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,D53908,2009,MASCARELLO,,,,,,,true,,,,,,KOE8955,,,,5 ONIBUS ROD. C/ AR,Inválido,Baixa
2023-02-06,2023-02-05 21:00:00,ONIBUS,A41859,2009,MARCOPOLO,,,,,,,true,,,,,,LUJ2707,,,,22 MICROMASTER ROD. C/AR,Inválido,Baixa
